region,rho,arrival_rate,service_time,seed,number_to_serve,utilization,fraction_served,mean_number,mean_delay,final_clock,total_arrived,total_served,final_number_in_system
clearly_stable,0.50000,0.06250000,8.00,5259140,100,0.4656579443,1.0000000000,0.6911115129,11.8732906226,1717.9992521131,100,100,0
clearly_stable,0.50000,0.06250000,8.00,1357911,100,0.5647961365,1.0000000000,0.8387072509,11.8797873681,1416.4402841493,100,100,0
clearly_stable,0.50000,0.06250000,8.00,2468022,100,0.4880659301,1.0000000000,0.6442048755,10.5593090735,1639.1228125999,100,100,0
clearly_stable,0.50000,0.06250000,8.00,3141592,100,0.5092461565,0.9900990099,0.7992496898,12.5558090861,1570.9495100407,101,100,1
clearly_stable,0.50000,0.06250000,8.00,8675309,100,0.5974562258,1.0000000000,1.0162751882,13.6080287643,1339.0102328420,100,100,0
near_critical,0.95000,0.11875000,8.00,5259140,100,0.8745657022,0.9900990099,2.4964973314,22.8364531120,914.7397365407,101,100,1
near_critical,0.95000,0.11875000,8.00,1357911,100,0.9866648594,0.9433962264,5.4680226699,44.3354001550,810.8122959836,106,100,6
near_critical,0.95000,0.11875000,8.00,2468022,100,0.8620777232,0.8849557522,4.5102478316,41.8546746795,927.9905726257,113,100,13
near_critical,0.95000,0.11875000,8.00,3141592,100,0.9439876280,0.9615384615,6.3556646380,53.8622706424,847.4687339542,104,100,4
near_critical,0.95000,0.11875000,8.00,8675309,100,1.0000000000,0.9090909091,8.9792707656,71.8341661245,800.0000000000,110,100,10
unstable,1.10000,0.13750000,8.00,5259140,100,0.9903729683,0.9615384615,6.7806230046,54.7722784956,807.7764898382,104,100,4
unstable,1.10000,0.13750000,8.00,1357911,100,0.9998460447,0.8771929825,11.9161850050,95.3441587791,800.1231832073,114,100,14
unstable,1.10000,0.13750000,8.00,2468022,100,0.9025748990,0.8196721311,9.8635759168,87.4261043829,886.3530338343,122,100,22
unstable,1.10000,0.13750000,8.00,3141592,100,0.9876999673,0.8849557522,12.8339766816,103.9504068547,809.9625660367,113,100,13
unstable,1.10000,0.13750000,8.00,8675309,100,1.0000000000,0.7633587786,17.4448406368,139.5587250943,800.0000000000,131,100,31
clearly_stable,0.50000,0.06250000,8.00,5259140,10000,0.4976648701,0.9998000400,0.7517862642,12.0850204119,160750.7477450226,10002,10000,2
clearly_stable,0.50000,0.06250000,8.00,1357911,10000,0.5008033800,1.0000000000,0.7475803302,11.9420972001,159743.3308135384,10000,10000,0
clearly_stable,0.50000,0.06250000,8.00,2468022,10000,0.5001731657,1.0000000000,0.7486415192,11.9741172954,159944.6061674939,10000,10000,0
clearly_stable,0.50000,0.06250000,8.00,3141592,10000,0.4911949099,0.9999000100,0.7230497715,11.7761769414,162868.1372294024,10001,10000,1
clearly_stable,0.50000,0.06250000,8.00,8675309,10000,0.5085484139,0.9999000100,0.7657437119,12.0459518270,157310.4896535942,10001,10000,1
near_critical,0.95000,0.11875000,8.00,5259140,10000,0.9449582439,0.9990009990,10.9866343949,93.0126550365,84659.8254690476,10010,10000,10
near_critical,0.95000,0.11875000,8.00,1357911,10000,0.9511875266,0.9999000100,7.7938801576,65.5507347596,84105.3922235564,10001,10000,1
near_critical,0.95000,0.11875000,8.00,2468022,10000,0.9496982866,0.9990009990,8.9150102748,75.0976212184,84237.2794909247,10010,10000,10
near_critical,0.95000,0.11875000,8.00,3141592,10000,0.9331554484,0.9998000400,6.9294785865,59.4068531538,85730.6252012188,10002,10000,2
near_critical,0.95000,0.11875000,8.00,8675309,10000,0.9660854456,0.9999000100,14.6053107666,120.9442567092,82808.4103392587,10001,10000,1
unstable,1.10000,0.13750000,8.00,5259140,10000,0.9999028033,0.9116601331,519.9523085437,4160.0228087340,80007.7764898382,10969,10000,969
unstable,1.10000,0.13750000,8.00,1357911,10000,0.9999984602,0.9087604507,477.6349838301,3821.0857543017,80000.1231832073,11004,10000,1004
unstable,1.10000,0.13750000,8.00,2468022,10000,0.9989217510,0.9081827264,493.2197822973,3950.0173608330,80086.3530338343,11011,10000,1011
unstable,1.10000,0.13750000,8.00,3141592,10000,0.9998754834,0.9248982612,383.8507420942,3071.1883505902,80009.9625660367,10812,10000,812
unstable,1.10000,0.13750000,8.00,8675309,10000,1.0000000000,0.8970218873,628.9496886181,5031.5975089450,80000.0000000000,11148,10000,1148
clearly_stable,0.50000,0.06250000,8.00,5259140,1000000,0.5004933919,1.0000000000,0.7506312501,11.9982603120,15984227.0233989950,1000000,1000000,0
clearly_stable,0.50000,0.06250000,8.00,1357911,1000000,0.4997901527,0.9999970000,0.7476695262,11.9677352125,16006717.9324560910,1000003,1000000,3
clearly_stable,0.50000,0.06250000,8.00,2468022,1000000,0.5000661986,0.9999990000,0.7504188109,12.0051115327,15997881.9267427230,1000001,1000000,1
clearly_stable,0.50000,0.06250000,8.00,3141592,1000000,0.5000588914,1.0000000000,0.7502745425,12.0029789356,15998115.6970254440,1000000,1000000,0
