rho,arrival_rate,service_time,number_to_serve,number_of_seeds,average_utilization,average_mean_number,average_mean_delay
0.02000,0.00250000,8.00,1000000,5,0.0200043511,0.0202090269,8.0818525552
0.05000,0.00625000,8.00,1000000,5,0.0500108759,0.0513300319,8.2110191019
0.10000,0.01250000,8.00,1000000,5,0.1000217449,0.1055860154,8.4450450962
0.20000,0.02500000,8.00,1000000,5,0.2000434586,0.2250684573,9.0007824124
0.30000,0.03750000,8.00,1000000,5,0.3000651089,0.3643703237,9.7144327415
0.40000,0.05000000,8.00,1000000,5,0.4000866650,0.5333287127,10.6642618058
0.50000,0.06250000,8.00,1000000,5,0.5001081413,0.7497246432,11.9929968092
0.60000,0.07500000,8.00,1000000,5,0.6001295416,1.0494288275,13.9893562854
0.70000,0.08750000,8.00,1000000,5,0.7001507742,1.5171482213,17.3350862544
0.80000,0.10000000,8.00,1000000,5,0.8001710981,2.4061140216,24.0559616681
0.90000,0.11250000,8.00,1000000,5,0.9001887395,4.9717600586,44.1840597702
0.95000,0.11875000,8.00,1000000,5,0.9501873960,10.0114498191,84.2900588639
0.98000,0.12250000,8.00,1000000,5,0.9801809238,24.7507180426,202.0099442573
