rho,arrival_rate,service_time,seed,number_to_serve,utilization,mean_number,mean_delay
0.02000,0.00250000,8.00,5259140,1000000,0.0200197574,0.0202238007,8.0815367819
0.02000,0.00250000,8.00,1357911,1000000,0.0199916696,0.0201961913,8.0818427651
0.02000,0.00250000,8.00,2468022,1000000,0.0200026707,0.0202084181,8.0822879487
0.02000,0.00250000,8.00,3141592,1000000,0.0200023653,0.0202060311,8.0814567019
0.02000,0.00250000,8.00,8675309,1000000,0.0200052925,0.0202106933,8.0821385781
0.05000,0.00625000,8.00,5259140,1000000,0.0500493919,0.0513644688,8.2102046577
0.05000,0.00625000,8.00,1357911,1000000,0.0499791726,0.0512933274,8.2103523874
0.05000,0.00625000,8.00,2468022,1000000,0.0500066739,0.0513367607,8.2127854948
0.05000,0.00625000,8.00,3141592,1000000,0.0500059116,0.0513213052,8.2104380810
0.05000,0.00625000,8.00,8675309,1000000,0.0500132297,0.0513342972,8.2113148887
0.10000,0.01250000,8.00,5259140,1000000,0.1000987741,0.1056484205,8.4435336207
0.10000,0.01250000,8.00,1357911,1000000,0.0999583402,0.1055152374,8.4447370521
0.10000,0.01250000,8.00,2468022,1000000,0.1000133377,0.1056072859,8.4474561703
0.10000,0.01250000,8.00,3141592,1000000,0.1000118183,0.1055744359,8.4449568238
0.10000,0.01250000,8.00,8675309,1000000,0.1000264544,0.1055846971,8.4445418141
0.20000,0.02500000,8.00,5259140,1000000,0.2001975080,0.2252136742,8.9996594438
0.20000,0.02500000,8.00,1357911,1000000,0.1999166441,0.2248452685,8.9975607391
0.20000,0.02500000,8.00,2468022,1000000,0.2000266354,0.2251881897,9.0063281498
0.20000,0.02500000,8.00,3141592,1000000,0.2000236166,0.2250959242,9.0027738941
0.20000,0.02500000,8.00,8675309,1000000,0.2000528888,0.2249992299,8.9975898354
0.30000,0.03750000,8.00,5259140,1000000,0.3002962019,0.3646601780,9.7146797240
0.30000,0.03750000,8.00,1357911,1000000,0.2998747511,0.3637942568,9.7052320797
0.30000,0.03750000,8.00,2468022,1000000,0.3000398931,0.3646826654,9.7235780628
0.30000,0.03750000,8.00,3141592,1000000,0.3000353949,0.3645205997,9.7194026033
0.30000,0.03750000,8.00,8675309,1000000,0.3000793032,0.3641939185,9.7092712375
0.40000,0.05000000,8.00,5259140,1000000,0.4003948338,0.5338374775,10.6662210887
0.40000,0.05000000,8.00,1357911,1000000,0.3998325618,0.5322040199,10.6485378276
0.40000,0.05000000,8.00,2468022,1000000,0.4000530789,0.5339081721,10.6767466683
0.40000,0.05000000,8.00,3141592,1000000,0.4000471531,0.5336198655,10.6711393658
0.40000,0.05000000,8.00,8675309,1000000,0.4001056976,0.5330740284,10.6586640784
0.50000,0.06250000,8.00,5259140,1000000,0.5004933919,0.7506312501,11.9982603120
0.50000,0.06250000,8.00,1357911,1000000,0.4997901527,0.7476695262,11.9677352125
0.50000,0.06250000,8.00,2468022,1000000,0.5000661986,0.7504188109,12.0051115327
0.50000,0.06250000,8.00,3141592,1000000,0.5000588914,0.7502745425,12.0029789356
0.50000,0.06250000,8.00,8675309,1000000,0.5001320720,0.7496290861,11.9908980532
0.60000,0.07500000,8.00,5259140,1000000,0.6005918899,1.0514186064,14.0050989570
0.60000,0.07500000,8.00,1357911,1000000,0.5997475238,1.0454010860,13.9445489239
0.60000,0.07500000,8.00,2468022,1000000,0.6000792582,1.0501439716,14.0000702534
0.60000,0.07500000,8.00,3141592,1000000,0.6000706097,1.0503166844,14.0025745974
0.60000,0.07500000,8.00,8675309,1000000,0.6001584264,1.0498637892,13.9944886952
0.70000,0.08750000,8.00,5259140,1000000,0.7006903278,1.5209634148,17.3653136559
0.70000,0.08750000,8.00,1357911,1000000,0.6997046751,1.5074077733,17.2347886408
0.70000,0.08750000,8.00,2468022,1000000,0.7000922579,1.5199842374,17.3689592516
0.70000,0.08750000,8.00,3141592,1000000,0.7000821927,1.5184967465,17.3522110672
0.70000,0.08750000,8.00,8675309,1000000,0.7001844177,1.5188889342,17.3541586565
0.80000,0.10000000,8.00,5259140,1000000,0.8007871387,2.4145373410,24.1216395656
0.80000,0.10000000,8.00,1357911,1000000,0.7996602239,2.3853736949,23.8638724166
0.80000,0.10000000,8.00,2468022,1000000,0.8001051975,2.4184176127,24.1809964022
0.80000,0.10000000,8.00,3141592,1000000,0.8000936145,2.4023052660,24.0202418578
0.80000,0.10000000,8.00,8675309,1000000,0.8002093162,2.4099361931,24.0930580982
0.90000,0.11250000,8.00,5259140,1000000,0.9008818338,4.9957940723,44.3635902960
0.90000,0.11250000,8.00,1357911,1000000,0.8996122666,4.9049095166,43.6179869833
0.90000,0.11250000,8.00,2468022,1000000,0.9001180771,5.0704545973,45.0647951748
0.90000,0.11250000,8.00,3141592,1000000,0.9000993712,4.9120103598,43.6574939789
0.90000,0.11250000,8.00,8675309,1000000,0.9002321489,4.9756317468,44.2164324183
0.95000,0.11875000,8.00,5259140,1000000,0.9509266839,10.0445742465,84.5034589237
0.95000,0.11875000,8.00,1357911,1000000,0.9495878308,9.7976251882,82.5421292915
0.95000,0.11875000,8.00,2468022,1000000,0.9501150742,10.0857105058,84.9220123274
0.95000,0.11875000,8.00,3141592,1000000,0.9500668904,9.9916323365,84.1341378150
0.95000,0.11875000,8.00,8675309,1000000,0.9502405006,10.1377068184,85.3485559618
0.98000,0.12250000,8.00,5259140,1000000,0.9809479986,24.4064469377,199.0437574422
0.98000,0.12250000,8.00,1357911,1000000,0.9795730231,24.9458367833,203.7282464478
0.98000,0.12250000,8.00,2468022,1000000,0.9801014150,24.4351186031,199.4497159570
0.98000,0.12250000,8.00,3141592,1000000,0.9800393937,24.6667822914,201.3533941644
0.98000,0.12250000,8.00,8675309,1000000,0.9802427885,25.2994055977,206.4746072750
