rho,arrival_rate,service_time,number_to_serve,number_of_seeds,average_md1_mean_delay,average_mm1_mean_delay,average_md1_utilization,average_mm1_utilization,average_md1_mean_number,average_mm1_mean_number
0.02000,0.00250000,8.00,1000000,5,8.0818525552,8.1588896573,0.0200043511,0.0199962081,0.0202090269,0.0204015917
0.05000,0.00625000,8.00,1000000,5,8.2110191019,8.4172103702,0.0500108759,0.0499941273,0.0513300319,0.0526207264
0.10000,0.01250000,8.00,1000000,5,8.4450450962,8.8837135160,0.1000217449,0.0999673027,0.1055860154,0.1110625881
0.20000,0.02500000,8.00,1000000,5,9.0007824124,9.9988467355,0.2000434586,0.2000040009,0.2250684573,0.2500508543
0.30000,0.03750000,8.00,1000000,5,9.7144327415,11.4336398974,0.3000651089,0.2999653544,0.3643703237,0.4288690124
0.40000,0.05000000,8.00,1000000,5,10.6642618058,13.3275886804,0.4000866650,0.3999236608,0.5333287127,0.6665215334
0.50000,0.06250000,8.00,1000000,5,11.9929968092,15.9996951366,0.5001081413,0.5001583826,0.7497246432,1.0004508309
0.60000,0.07500000,8.00,1000000,5,13.9893562854,19.9576379290,0.6001295416,0.5995483141,1.0494288275,1.4967240961
0.70000,0.08750000,8.00,1000000,5,17.3350862544,26.5533914924,0.7001507742,0.6997651629,1.5171482213,2.3237525928
0.80000,0.10000000,8.00,1000000,5,24.0559616681,40.1598577748,0.8001710981,0.8009031860,2.4061140216,4.0195102454
0.90000,0.11250000,8.00,1000000,5,44.1840597702,79.3170210894,0.9001887395,0.8996625405,4.9717600586,8.9242206435
0.95000,0.11875000,8.00,1000000,5,84.2900588639,160.2731177158,0.9501873960,0.9501282051,10.0114498191,19.0394653879
0.98000,0.12250000,8.00,1000000,5,202.0099442573,396.4426164603,0.9801809238,0.9794910926,24.7507180426,48.5651547088
