rho,arrival_rate,service_time,seed,number_to_serve,md1_mean_delay,mm1_mean_delay,md1_utilization,mm1_utilization,md1_mean_number,mm1_mean_number
0.02000,0.00250000,8.00,5259140,1000000,8.0815367819,8.1451297283,0.0200197574,0.0199664985,0.0202238007,0.0203696488
0.02000,0.00250000,8.00,1357911,1000000,8.0818427651,8.1638386332,0.0199916696,0.0199888302,0.0201961913,0.0203892436
0.02000,0.00250000,8.00,2468022,1000000,8.0822879487,8.1574188939,0.0200026707,0.0200038514,0.0202084181,0.0204151405
0.02000,0.00250000,8.00,3141592,1000000,8.0814567019,8.1658943194,0.0200023653,0.0200153998,0.0202060311,0.0204227182
0.02000,0.00250000,8.00,8675309,1000000,8.0821385781,8.1621667116,0.0200052925,0.0200064606,0.0202106933,0.0204112074
0.05000,0.00625000,8.00,5259140,1000000,8.2102046577,8.4031611904,0.0500493919,0.0499309038,0.0513644688,0.0525450654
0.05000,0.00625000,8.00,1357911,1000000,8.2103523874,8.4223854582,0.0499791726,0.0499794733,0.0512933274,0.0525913064
0.05000,0.00625000,8.00,2468022,1000000,8.2127854948,8.4170736485,0.0500066739,0.0500118579,0.0513367607,0.0526635852
0.05000,0.00625000,8.00,3141592,1000000,8.2104380810,8.4235354584,0.0500059116,0.0500390145,0.0513213052,0.0526679513
0.05000,0.00625000,8.00,8675309,1000000,8.2113148887,8.4198960955,0.0500132297,0.0500093871,0.0513342972,0.0526357237
0.10000,0.01250000,8.00,5259140,1000000,8.4435336207,8.8655478869,0.1000987741,0.0998284716,0.1056484205,0.1108542539
0.10000,0.01250000,8.00,1357911,1000000,8.4447370521,8.8839840496,0.0999583402,0.0998859595,0.1055152374,0.1109067703
0.10000,0.01250000,8.00,2468022,1000000,8.4474561703,8.8833430337,0.1000133377,0.1000012918,0.1056072859,0.1111493750
0.10000,0.01250000,8.00,3141592,1000000,8.4449568238,8.8950802727,0.1000118183,0.1000769852,0.1055744359,0.1112319599
0.10000,0.01250000,8.00,8675309,1000000,8.4445418141,8.8906123371,0.1000264544,0.1000438054,0.1055846971,0.1111705814
0.20000,0.02500000,8.00,5259140,1000000,8.9996594438,9.9749668344,0.2001975080,0.1998580013,0.2252136742,0.2495781994
0.20000,0.02500000,8.00,1357911,1000000,8.9975607391,10.0009961883,0.1999166441,0.1998991520,0.2248452685,0.2497823458
0.20000,0.02500000,8.00,2468022,1000000,9.0063281498,9.9923958109,0.2000266354,0.2000130436,0.2251881897,0.2500584636
0.20000,0.02500000,8.00,3141592,1000000,9.0027738941,10.0102817718,0.2000236166,0.2000536193,0.2250959242,0.2502920358
0.20000,0.02500000,8.00,8675309,1000000,8.9975898354,10.0155930721,0.2000528888,0.2001961880,0.2249992299,0.2505432269
0.30000,0.03750000,8.00,5259140,1000000,9.7146797240,11.4215094101,0.3002962019,0.2998498630,0.3646601780,0.4287019322
0.30000,0.03750000,8.00,1357911,1000000,9.7052320797,11.4514654303,0.2998747511,0.3001225702,0.3637942568,0.4292091954
0.30000,0.03750000,8.00,2468022,1000000,9.7235780628,11.4197635831,0.3000398931,0.2999668978,0.3646826654,0.4286296057
0.30000,0.03750000,8.00,3141592,1000000,9.7194026033,11.4489765030,0.3000353949,0.3001775048,0.3645205997,0.4294660559
0.30000,0.03750000,8.00,8675309,1000000,9.7092712375,11.4264845607,0.3000793032,0.2997099361,0.3641939185,0.4283382730
0.40000,0.05000000,8.00,5259140,1000000,10.6662210887,13.2847724040,0.4003948338,0.3993890962,0.5338374775,0.6645102628
0.40000,0.05000000,8.00,1357911,1000000,10.6485378276,13.3430728272,0.3998325618,0.4000042565,0.5322040199,0.6666780259
0.40000,0.05000000,8.00,2468022,1000000,10.6767466683,13.3362264896,0.4000530789,0.4001845983,0.5339081721,0.6676070249
0.40000,0.05000000,8.00,3141592,1000000,10.6711393658,13.3246022782,0.4000471531,0.3999440800,0.5336198655,0.6661871911
0.40000,0.05000000,8.00,8675309,1000000,10.6586640784,13.3492694029,0.4001056976,0.4000962729,0.5330740284,0.6676251625
0.50000,0.06250000,8.00,5259140,1000000,11.9982603120,16.0403915622,0.5004933919,0.5005662371,0.7506312501,1.0042691987
0.50000,0.06250000,8.00,1357911,1000000,11.9677352125,15.9923359510,0.4997901527,0.4997012395,0.7476695262,0.9985047092
0.50000,0.06250000,8.00,2468022,1000000,12.0051115327,16.0472195981,0.5000661986,0.5005558432,0.7504188109,1.0044743728
0.50000,0.06250000,8.00,3141592,1000000,12.0029789356,15.9286553509,0.5000588914,0.4997545539,0.7502745425,0.9953031627
0.50000,0.06250000,8.00,8675309,1000000,11.9908980532,15.9898732206,0.5001320720,0.5002140392,0.7496290861,0.9997027113
0.60000,0.07500000,8.00,5259140,1000000,14.0050989570,19.9705484470,0.6005918899,0.6001574845,1.0514186064,1.4997454125
0.60000,0.07500000,8.00,1357911,1000000,13.9445489239,19.9484845814,0.5997475238,0.5998645860,1.0454010860,1.4948930508
0.60000,0.07500000,8.00,2468022,1000000,14.0000702534,19.9112837647,0.6000792582,0.5988353109,1.0501439716,1.4933324626
0.60000,0.07500000,8.00,3141592,1000000,14.0025745974,20.0821732569,0.6000706097,0.6005207906,1.0503166844,1.5068245044
0.60000,0.07500000,8.00,8675309,1000000,13.9944886952,19.8756995949,0.6001584264,0.5983633987,1.0498637892,1.4888250500
0.70000,0.08750000,8.00,5259140,1000000,17.3653136559,26.4098515676,0.7006903278,0.6984080961,1.5209634148,2.3109426321
0.70000,0.08750000,8.00,1357911,1000000,17.2347886408,26.6036971215,0.6997046751,0.7007870443,1.5074077733,2.3274592467
0.70000,0.08750000,8.00,2468022,1000000,17.3689592516,26.6732521601,0.7000922579,0.7002035732,1.5199842374,2.3364949978
0.70000,0.08750000,8.00,3141592,1000000,17.3522110672,26.6743977695,0.7000821927,0.7007471361,1.5184967465,2.3352631414
0.70000,0.08750000,8.00,8675309,1000000,17.3541586565,26.4057588433,0.7001844177,0.6986799648,1.5188889342,2.3086029458
0.80000,0.10000000,8.00,5259140,1000000,24.1216395656,40.3121961810,0.8007871387,0.8012217960,2.4145373410,4.0390220981
0.80000,0.10000000,8.00,1357911,1000000,23.8638724166,39.8582349147,0.7996602239,0.8000923581,2.3853736949,3.9831905554
0.80000,0.10000000,8.00,2468022,1000000,24.1809964022,40.1291645743,0.8001051975,0.8006660406,2.4184176127,4.0184497160
0.80000,0.10000000,8.00,3141592,1000000,24.0202418578,40.6333745039,0.8000936145,0.8020304584,2.4023052660,4.0685137014
0.80000,0.10000000,8.00,8675309,1000000,24.0930580982,39.8663187000,0.8002093162,0.8005052769,2.4099361931,3.9883751561
0.90000,0.11250000,8.00,5259140,1000000,44.3635902960,78.9428693752,0.9008818338,0.8991284450,4.9957940723,8.8871284465
0.90000,0.11250000,8.00,1357911,1000000,43.6179869833,81.2056894868,0.8996122666,0.9014116129,4.9049095166,9.1362132454
0.90000,0.11250000,8.00,2468022,1000000,45.0647951748,78.4519098450,0.9001180771,0.8997867532,5.0704545973,8.8332753381
0.90000,0.11250000,8.00,3141592,1000000,43.6574939789,77.6888379331,0.9000993712,0.8987176619,4.9120103598,8.7337980554
0.90000,0.11250000,8.00,8675309,1000000,44.2164324183,80.2957988070,0.9002321489,0.8992682294,4.9756317468,9.0306881319
0.95000,0.11875000,8.00,5259140,1000000,84.5034589237,154.5610315407,0.9509266839,0.9497519910,10.0445742465,18.3732365366
0.95000,0.11875000,8.00,1357911,1000000,82.5421292915,159.0854827740,0.9495878308,0.9498713747,9.7976251882,18.8765539338
0.95000,0.11875000,8.00,2468022,1000000,84.9220123274,162.3767409035,0.9501150742,0.9494923918,10.0857105058,19.2955967701
0.95000,0.11875000,8.00,3141592,1000000,84.1341378150,161.5612116255,0.9500668904,0.9511939623,9.9916323365,19.1972613715
0.95000,0.11875000,8.00,8675309,1000000,85.3485559618,163.7811217351,0.9502405006,0.9503313056,10.1377068184,19.4546783276
0.98000,0.12250000,8.00,5259140,1000000,199.0437574422,373.2614777331,0.9809479986,0.9784157303,24.4064469377,45.7407592891
0.98000,0.12250000,8.00,1357911,1000000,203.7282464478,405.6059417414,0.9795730231,0.9804709998,24.9458367833,49.6611538216
0.98000,0.12250000,8.00,2468022,1000000,199.4497159570,393.2929455732,0.9801014150,0.9791192412,24.4351186031,48.2020326791
0.98000,0.12250000,8.00,3141592,1000000,201.3533941644,419.7178609489,0.9800393937,0.9796578693,24.6667822914,51.4050976434
0.98000,0.12250000,8.00,8675309,1000000,206.4746072750,390.3348563048,0.9802427885,0.9797916227,25.2994055977,47.8167301106
