rho,arrival_rate,service_time,number_to_serve,number_of_seeds,average_md1_mean_delay,average_mm1_mean_delay,average_md1_mean_number,average_mm1_mean_number,average_md1_utilization,average_mm1_utilization
0.02,0.00125,16,1000000,5,16.16370511,16.31777931,0.020209027,0.020401592,0.020004351,0.019996208
0.05,0.003125,16,1000000,5,16.4220382,16.83442074,0.051330032,0.052620726,0.050010876,0.049994127
0.1,0.00625,16,1000000,5,16.89009019,17.76742703,0.105586015,0.111062588,0.100021745,0.099967303
0.2,0.0125,16,1000000,5,18.00156482,19.99769347,0.225068457,0.250050854,0.200043459,0.200004001
0.3,0.01875,16,1000000,5,19.42886548,22.86727979,0.364370324,0.428869012,0.300065109,0.299965354
0.4,0.025,16,1000000,5,21.32852361,26.65517736,0.533328713,0.666521533,0.400086665,0.399923661
0.5,0.03125,16,1000000,5,23.98599362,31.99939027,0.749724643,1.000450831,0.500108141,0.500158383
0.6,0.0375,16,1000000,5,27.97871257,39.91527586,1.049428828,1.496724096,0.600129542,0.599548314
0.7,0.04375,16,1000000,5,34.67017251,53.10678298,1.517148221,2.323752593,0.700150774,0.699765163
0.8,0.05,16,1000000,5,48.11192334,80.31971555,2.406114022,4.019510245,0.800171098,0.800903186
0.9,0.05625,16,1000000,5,88.36811954,158.6340422,4.971760059,8.924220644,0.90018874,0.899662541
0.95,0.059375,16,1000000,5,168.5801177,320.5462354,10.01144982,19.03946539,0.950187396,0.950128205
0.98,0.06125,16,1000000,5,404.0198885,792.8852329,24.75071804,48.56515471,0.980180924,0.979491093
