rho,arrival_rate,service_time,seed,number_to_serve,md1_mean_delay,mm1_mean_delay,md1_mean_number,mm1_mean_number,md1_utilization,mm1_utilization
0.02,0.00125,16,5259140,1000000,16.16307356,16.29025946,0.020223801,0.020369649,0.020019757,0.019966499
0.02,0.00125,16,1357911,1000000,16.16368553,16.32767727,0.020196191,0.020389244,0.01999167,0.01998883
0.02,0.00125,16,2468022,1000000,16.1645759,16.31483779,0.020208418,0.020415141,0.020002671,0.020003851
0.02,0.00125,16,3141592,1000000,16.1629134,16.33178864,0.020206031,0.020422718,0.020002365,0.0200154
0.02,0.00125,16,8675309,1000000,16.16427716,16.32433342,0.020210693,0.020411207,0.020005293,0.020006461
0.05,0.003125,16,5259140,1000000,16.42040932,16.80632238,0.051364469,0.052545065,0.050049392,0.049930904
0.05,0.003125,16,1357911,1000000,16.42070477,16.84477092,0.051293327,0.052591306,0.049979173,0.049979473
0.05,0.003125,16,2468022,1000000,16.42557099,16.8341473,0.051336761,0.052663585,0.050006674,0.050011858
0.05,0.003125,16,3141592,1000000,16.42087616,16.84707092,0.051321305,0.052667951,0.050005912,0.050039015
0.05,0.003125,16,8675309,1000000,16.42262978,16.83979219,0.051334297,0.052635724,0.05001323,0.050009387
0.1,0.00625,16,5259140,1000000,16.88706724,17.73109577,0.105648421,0.110854254,0.100098774,0.099828472
0.1,0.00625,16,1357911,1000000,16.8894741,17.7679681,0.105515237,0.11090677,0.09995834,0.09988596
0.1,0.00625,16,2468022,1000000,16.89491234,17.76668607,0.105607286,0.111149375,0.100013338,0.100001292
0.1,0.00625,16,3141592,1000000,16.88991365,17.79016055,0.105574436,0.11123196,0.100011818,0.100076985
0.1,0.00625,16,8675309,1000000,16.88908363,17.78122467,0.105584697,0.111170581,0.100026454,0.100043805
0.2,0.0125,16,5259140,1000000,17.99931889,19.94993367,0.225213674,0.249578199,0.200197508,0.199858001
0.2,0.0125,16,1357911,1000000,17.99512148,20.00199238,0.224845269,0.249782346,0.199916644,0.199899152
0.2,0.0125,16,2468022,1000000,18.0126563,19.98479162,0.22518819,0.250058464,0.200026635,0.200013044
0.2,0.0125,16,3141592,1000000,18.00554779,20.02056354,0.225095924,0.250292036,0.200023617,0.200053619
