service_time,rho,arrival_rate,number_to_serve,number_of_seeds,simulated_md1_delay,theoretical_md1_delay,md1_percent_error,simulated_mm1_delay,theoretical_mm1_delay,mm1_percent_error
8,0.02,0.0025,1000000,5,8.081852555,8.081632653,0.002721,8.158889657,8.163265306,0.053602
8,0.05,0.00625,1000000,5,8.211019102,8.210526316,0.006002,8.41721037,8.421052632,0.045627
8,0.1,0.0125,1000000,5,8.445045096,8.444444444,0.007113,8.883713516,8.888888889,0.058223
8,0.2,0.025,1000000,5,9.000782412,9,0.008693,9.998846736,10,0.011533
8,0.3,0.0375,1000000,5,9.714432742,9.714285714,0.001514,11.4336399,11.42857143,0.044349
8,0.4,0.05,1000000,5,10.66426181,10.66666667,0.022546,13.32758868,13.33333333,0.043085
8,0.5,0.0625,1000000,5,11.99299681,12,0.05836,15.99969514,16,0.001905
8,0.6,0.075,1000000,5,13.98935629,14,0.076027,19.95763793,20,0.21181
8,0.7,0.0875,1000000,5,17.33508625,17.33333333,0.010113,26.55339149,26.66666667,0.424782
8,0.8,0.1,1000000,5,24.05596167,24,0.233174,40.15985777,40,0.399644
8,0.9,0.1125,1000000,5,44.18405977,44,0.418318,79.31702109,80,0.853724
8,0.95,0.11875,1000000,5,84.29005886,84,0.345308,160.2731177,160,0.170699
8,0.98,0.1225,1000000,5,202.0099443,204,0.975518,396.4426165,400,0.889346
16,0.02,0.00125,1000000,5,16.16370511,16.16326531,0.002721,16.31777931,16.32653061,0.053602
16,0.05,0.003125,1000000,5,16.4220382,16.42105263,0.006002,16.83442074,16.84210526,0.045627
16,0.1,0.00625,1000000,5,16.89009019,16.88888889,0.007113,17.76742703,17.77777778,0.058223
16,0.2,0.0125,1000000,5,18.00156482,18,0.008693,19.99769347,20,0.011533
16,0.3,0.01875,1000000,5,19.42886548,19.42857143,0.001514,22.86727979,22.85714286,0.044349
16,0.4,0.025,1000000,5,21.32852361,21.33333333,0.022546,26.65517736,26.66666667,0.043085
16,0.5,0.03125,1000000,5,23.98599362,24,0.05836,31.99939027,32,0.001905
16,0.6,0.0375,1000000,5,27.97871257,28,0.076027,39.91527586,40,0.21181
16,0.7,0.04375,1000000,5,34.67017251,34.66666667,0.010113,53.10678298,53.33333333,0.424782
16,0.8,0.05,1000000,5,48.11192334,48,0.233174,80.31971555,80,0.399644
16,0.9,0.05625,1000000,5,88.36811954,88,0.418318,158.6340422,160,0.853724
16,0.95,0.059375,1000000,5,168.5801177,168,0.345308,320.5462354,320,0.170699
16,0.98,0.06125,1000000,5,404.0198885,408,0.975518,792.8852329,800,0.889346
