max_queue_size,arrival_rate,rho,service_time,number_to_serve,number_of_seeds,average_mean_delay,average_rejection_probability,average_mean_number,average_utilization,theoretical_max_delay,theoretical_max_rejection
1,0.001,0.008,8,100000,5,8.031862643,0.000029999,0.008031927,0.008000064,16,1
1,0.005,0.04,8,100000,5,8.159180299,0.000749432,0.040766705,0.039971376,16,1
1,0.01,0.08,8,100000,5,8.312831072,0.002939277,0.082886929,0.079767722,16,1
1,0.025,0.2,8,100000,5,8.752681997,0.018142685,0.214853431,0.196377266,16,1
1,0.05,0.4,8,100000,5,9.411196335,0.06581061,0.439810019,0.373859909,16,1
1,0.075,0.6,8,100000,5,9.988159401,0.129929765,0.652436554,0.522566647,16,1
1,0.1,0.8,8,100000,5,10.49271052,0.199780866,0.839714239,0.640224014,16,1
1,0.125,1,8,100000,5,10.94516219,0.269041278,1.000355786,0.731172825,16,1
1,0.15,1.2,8,100000,5,11.34185282,0.333988298,1.133581732,0.79957133,16,1
1,0.2,1.6,8,100000,5,12.00986191,0.445145281,1.333389645,0.888191549,16,1
1,0.3,2.4,8,100000,5,12.97253356,0.598693596,1.562777978,0.963742411,16,1
1,0.5,4,8,100000,5,14.03325964,0.751119919,1.746143473,0.995427747,16,1
1,1,8,8,100000,5,15.00067039,0.875039316,1.875044647,0.999974326,16,1
1,2,16,8,100000,5,15.50104337,0.937505083,1.937640121,1,16,1
1,5,40,8,100000,5,15.80011629,0.975007581,1.97502427,1,16,1
5,0.001,0.008,8,100000,5,8.032205695,0,0.008032566,0.008000358,48,1
5,0.005,0.04,8,100000,5,8.167358089,0,0.040838604,0.040001779,48,1
5,0.01,0.08,8,100000,5,8.347071327,0,0.083474401,0.080003526,48,1
5,0.025,0.2,8,100000,5,9.000162472,0,0.22501376,0.200008546,48,1
5,0.05,0.4,8,100000,5,10.66194578,0.000101988,0.533057414,0.399970124,48,1
5,0.075,0.6,8,100000,5,13.71591585,0.002561363,1.026080516,0.598470932,48,1
5,0.1,0.8,8,100000,5,19.22901941,0.02197132,1.881072993,0.782576411,48,1
5,0.125,1,8,100000,5,26.70970013,0.086324336,3.052576541,0.914284967,48,1
5,0.15,1.2,8,100000,5,33.35734925,0.187900086,4.064572111,0.974781136,48,1
5,0.2,1.6,8,100000,5,40.3797097,0.376077267,5.039550031,0.998410446,48,1
5,0.3,2.4,8,100000,5,44.21035413,0.583626721,5.526390428,0.999994108,48,1
5,0.5,4,8,100000,5,45.95910058,0.749976767,5.745028455,1,48,1
5,1,8,8,100000,5,46.99880186,0.875031506,5.87499372,1,48,1
5,2,16,8,100000,5,47.49988893,0.937502583,5.93763268,1,48,1
5,5,40,8,100000,5,47.79897931,0.975006581,5.975021293,1,48,1
20,0.001,0.008,8,100000,5,8.032205695,0,0.008032566,0.008000358,168,1
20,0.005,0.04,8,100000,5,8.167358089,0,0.040838604,0.040001779,168,1
20,0.01,0.08,8,100000,5,8.347071327,0,0.083474401,0.080003526,168,1
20,0.025,0.2,8,100000,5,9.000162472,0,0.22501376,0.200008546,168,1
20,0.05,0.4,8,100000,5,10.66886217,0,0.533465284,0.400016065,168,1
20,0.075,0.6,8,100000,5,13.98468413,0,1.048894058,0.60002034,168,1
20,0.1,0.8,8,100000,5,23.97999813,5.59873E-05,2.398017035,0.799974343,168,1
20,0.125,1,8,100000,5,86.35860139,0.023794274,10.54012829,0.976294318,168,1
20,0.15,1.2,8,100000,5,146.8051354,0.167075996,18.35104358,0.999933823,168,1
20,0.2,1.6,8,100000,5,160.1577625,0.374999298,20.02148944,0.999992734,168,1
20,0.3,2.4,8,100000,5,164.1809629,0.58356087,20.52460998,0.999999942,168,1
20,0.5,4,8,100000,5,165.9388673,0.749939265,20.74440466,1,168,1
20,1,8,8,100000,5,166.9811884,0.875012762,20.87472687,1,168,1
20,2,16,8,100000,5,167.4833539,0.937493209,20.93750869,1,168,1
20,5,40,8,100000,5,167.7830291,0.975002832,20.97497277,1,168,1
