max_queue_size,arrival_rate,rho,service_time,seed,number_to_serve,mean_delay,rejection_probability,mean_number,utilization,total_arrived,total_rejected,total_served,final_number_in_system
1,0.001,0.008,8,5259140,100000,8.032096739,2.99991E-05,0.008020495,0.007988445,100003,3,100000,0
1,0.001,0.008,8,1357911,100000,8.033069206,2.99991E-05,0.008037015,0.008003929,100003,3,100000,0
1,0.001,0.008,8,2468022,100000,8.03092222,9.9999E-06,0.008015459,0.007984597,100001,1,100000,0
1,0.001,0.008,8,3141592,100000,8.031765861,3.99984E-05,0.008031482,0.007999718,100004,4,100000,0
1,0.001,0.008,8,8675309,100000,8.031459188,3.99984E-05,0.008055184,0.008023632,100004,4,100000,0
1,0.005,0.04,8,5259140,100000,8.161159331,0.000809344,0.040714711,0.039910713,100081,81,100000,0
1,0.005,0.04,8,1357911,100000,8.161159226,0.000869244,0.040789996,0.039984511,100087,87,100000,0
1,0.005,0.04,8,2468022,100000,8.160288118,0.000669551,0.040700847,0.039901382,100067,67,100000,0
1,0.005,0.04,8,3141592,100000,8.153817126,0.00069951,0.040738038,0.039969538,100070,70,100000,0
1,0.005,0.04,8,8675309,100000,8.159477694,0.00069951,0.040889931,0.040090734,100070,70,100000,0
1,0.01,0.08,8,5259140,100000,8.316102194,0.002981087,0.082802095,0.079654716,100299,299,100000,0
1,0.01,0.08,8,1357911,100000,8.315293744,0.003269277,0.082907941,0.079764293,100328,328,100000,0
1,0.01,0.08,8,2468022,100000,8.314880475,0.002543514,0.082792468,0.079657158,100255,255,100000,0
1,0.01,0.08,8,3141592,100000,8.30547305,0.002851844,0.082829668,0.079783215,100286,286,100000,0
1,0.01,0.08,8,8675309,100000,8.312405899,0.003050665,0.083102475,0.079979227,100306,306,100000,0
1,0.025,0.2,8,5259140,100000,8.757566962,0.017980772,0.214790824,0.1962105,101831,1831,100000,0
1,0.025,0.2,8,1357911,100000,8.757651051,0.017990416,0.215035162,0.196431815,101832,1832,100000,0
